Timestamp,Age,Gender,Average Household Income,"
Educational qualification of parent/ guardian",Marital status of parents,Residence,Type of Family,No. of siblings,Do your parents/guardians support your academic work?,Average number of days absent from school each month,Distance between home and school,"How often do you use the library, labs, and study spaces",How often do you use the internet to access learning materials,What was your JAMB Score?,How often do you participate in Class?,How often do you experience Stress? ,How often do you study on a daily basis?,How often do you engage do you engage in extracurricular activity?,Are you happy studying this course?,Last academic performance,What challenges do you face in preparing for your exams? (Select all that apply),What support do you think could improve your exam performance? (Select all that apply),@
10/3/2024 14:05:08,16 -20,Female,low-middleclass,Post Graduate,Married,Urban,Nuclear,2,,1,less than 1km,5,,195,High,4,5,3,4,4,,Parental Support,
10/3/2024 14:12:50,25-30,Male,upper-middleclass,National Diploma,Single,Rural,Nuclear,4,5,5,1-3km,3,2,180,Moderate,4,4,3,4,4,,"More access to study materials, Private tutorials, Parental Support",
10/3/2024 14:19:07,21-25,Male,low,HND,Married,Urban,Nuclear,4,5,0,1-3km,3,2,171,High,4,4,4,4,4,,"More access to study materials, Private tutorials",
10/3/2024 14:22:02,25-30,Male,low-middleclass,HND,Single,Rural,Nuclear,6,4,1,1-3km,2,3,208,High,4,1,1,4,4,,"More access to study materials, Private tutorials",
10/3/2024 14:35:54,16 -20,Male,low,National Diploma,Married,Urban,Nuclear,3,4,0,3-5km,2,2,187,Moderate,3,3,4,4,4,,Private tutorials,
10/3/2024 15:03:13,35 - 40,Male,low,Post Graduate,Widowed,Urban,Nuclear,3,4,0,1-3km,4,3,256,High,5,3,3,3,5,,"More access to study materials, Private tutorials",
10/3/2024 15:06:05,21-25,Female,low-middleclass,HND,Single,Sub-Urban,Nuclear,4,3,3,Above 5km,3,3,213,High,4,5,4,3,5,,Private tutorials,
10/3/2024 15:28:32,above 40,Male,upper-middleclass,HND,Married,Urban,Nuclear,8,4,5,Above 5km,4,4,210,High,3,5,2,2,3,,"More access to study materials, Private tutorials",
10/3/2024 15:36:51,30-34,Male,low-middleclass,Secondary School Cert,Single,Sub-Urban,Nuclear,3,4,4,3-5km,1,2,190,Moderate,4,3,3,4,4,,Private tutorials,
10/3/2024 15:48:33,16 -20,Male,upper-middleclass,Post Graduate,Married,Urban,Nuclear,5,4,4,Above 5km,5,4,211,High,5,5,5,5,5,,None,
10/3/2024 15:58:07,25-30,Male,upper-middleclass,Secondary School Cert,Widowed,Urban,Nuclear,3,5,5,Above 5km,1,4,287,Moderate,4,3,3,4,4,,"More access to study materials, ",
10/3/2024 16:59:59,30-34,Male,low-middleclass,Informal,Widowed,Sub-Urban,Extended,6,5,1,less than 1km,3,3,208,Low,5,5,5,5,3,,,
10/3/2024 19:07:58,21-25,Male,low,Secondary School Cert,Single,Rural,Nuclear,5,5,2,3-5km,1,2,200,High,5,1,1,4,4,Poor Understanding of Courses/Subjects,Private tutorials,
10/3/2024 19:26:00,21-25,Male,low-middleclass,Informal,Married,Rural,Extended,9,5,7,3-5km,1,5,163,Moderate,3,3,3,3,1,limited access to quiet place of study,Private tutorials,
10/3/2024 20:33:02,21-25,Male,low-middleclass,National Diploma,Married,Urban,Nuclear,6,4,2,1-3km,4,5,196,Moderate,3,2,4,5,4,"lack of study materials, limited access to quiet place of study, Poor Understanding of Courses/Subjects","More access to study materials, Private tutorials",
10/3/2024 21:41:40,16 -20,Female,upper-middleclass,Secondary School Cert,Single,Urban,Nuclear,6,5,5,Above 5km,5,4,215,Moderate,5,3,3,5,4,"limited access to quiet place of study, Poor Understanding of Courses/Subjects",More access to study materials,
10/4/2024 13:14:39,35 - 40,Male,low-middleclass,Secondary School Cert,Married,Urban,Nuclear,3,5,2,3-5km,4,3,195,High,3,4,3,3,4,Financial Difficulties,Private tutorials,
